,Open,High,Low,Close,Volume
2024-06-28,184.3200,185.1300,181.9600,182.1500,29156644
2024-06-27,184.1800,186.0500,184.0200,185.4100,18848884
2024-06-26,182.6300,184.5100,182.4800,183.8800,19838972
2024-06-25,179.6200,184.2900,179.4200,184.0300,23235589
2024-06-24,180.1600,180.8900,178.6700,179.2200,18298012
2024-06-21,177.0000,180.8500,176.6100,179.6300,58582743
2024-06-20,175.3700,177.2900,174.9900,176.3000,20160085
2024-06-18,177.1400,177.3850,174.1042,175.0900,21869857
2024-06-17,175.4600,178.3600,174.8100,177.2400,19618497
2024-06-14,174.2200,177.0623,174.1500,176.7900,18063555
2024-06-13,176.1100,176.7400,174.8800,175.1600,20913299
2024-06-12,178.2500,180.4100,176.1100,177.7900,27864737
2024-06-11,176.2200,176.8400,173.7701,176.6200,21540582
2024-06-10,174.9700,177.0600,172.7600,175.0100,23779218
2024-06-07,177.0500,177.8700,174.3000,174.4600,19661399
2024-06-06,175.8950,177.1500,175.7500,176.7300,23251013
2024-06-05,175.2000,176.6450,173.9339,175.4100,22068519
2024-06-04,173.2800,173.8450,171.8900,173.7900,26879596
2024-06-03,172.5400,174.5250,171.1600,173.1700,27459118
2024-05-31,171.8600,173.0600,169.4400,172.5000,37638876
2024-05-30,175.2000,175.2200,171.7900,172.1100,22958677
2024-05-29,175.4300,176.8360,174.7200,175.9000,23388693
2024-05-28,174.4500,177.2700,174.3650,176.4000,20572157
2024-05-24,174.9800,175.7700,173.6500,174.9900,16579438
2024-05-23,177.0700,178.2500,172.9500,173.5500,21024935
2024-05-22,176.6440,177.1500,175.2100,176.3800,17880042
2024-05-21,176.9000,178.1500,175.8100,177.8500,16989369
2024-05-20,176.1920,178.7700,176.0800,176.9200,22554400
2024-05-17,174.1800,176.2650,173.6900,176.0600,24479262
2024-05-16,173.2900,175.1150,172.6900,174.1800,27867947
2024-05-15,170.6300,172.6500,170.5100,172.5100,26948370
2024-05-14,169.7700,171.2500,168.8000,170.3400,25127138
2024-05-13,164.2600,169.2800,164.0000,169.1400,31327602
2024-05-10,168.0250,169.8500,166.1900,168.6500,29799931
2024-05-09,169.3900,170.6900,168.1800,169.9600,15346700
2024-05-08,169.0000,170.1500,168.7350,169.3800,19569146
2024-05-07,168.5000,171.7600,168.3900,171.2500,28039696
2024-05-06,167.4600,168.1400,166.0300,168.1000,21871283
2024-05-03,167.5600,167.9600,163.0500,167.2400,34662432
2024-05-02,164.7850,166.7300,163.8900,166.6200,24294549
2024-05-01,164.3000,167.1200,163.0900,163.8600,33493151
2024-04-30,165.6120,168.1000,162.6000,162.7800,33562861
2024-04-29,169.0580,169.5500,165.2100,166.1500,45610024
2024-04-26,174.3700,174.7100,169.6500,171.9500,64665299
2024-04-25,151.3300,156.4900,150.8700,156.0000,57109730
2024-04-24,157.4900,159.5650,157.1650,159.1300,22779112
2024-04-23,156.9600,158.9700,156.2800,158.2600,21151568
2024-04-22,154.3100,157.6400,154.0600,156.2800,26446206
2024-04-19,156.2000,156.3600,152.3000,154.0900,32615639
2024-04-18,155.3400,156.9400,154.6200,156.0100,19883044
2024-04-17,155.6200,157.0800,154.5800,155.4700,21763130
2024-04-16,154.1900,155.6500,153.4300,154.4000,20779495
2024-04-15,158.8600,159.2400,154.5900,154.8600,27136472
2024-04-12,157.9600,160.2225,157.1400,157.7300,25353746
2024-04-11,156.9100,159.6800,156.4600,159.4100,27166431
2024-04-10,156.2100,156.6100,154.6800,156.1400,22838629
2024-04-09,156.0850,158.5600,155.1900,156.6000,30739691
2024-04-08,152.7800,155.2700,152.6100,154.8500,20577435
2024-04-05,150.0300,153.4200,149.6000,152.5000,23328522
2024-04-04,153.5000,154.7700,150.4500,150.5300,34468227
2024-04-03,153.6000,155.0800,152.7300,154.9200,23884801
2024-04-02,153.5000,154.7000,152.1500,154.5600,24491676
2024-04-01,150.6900,155.7400,150.6100,155.4900,31308247
2024-03-28,150.8500,151.4300,150.1700,150.9300,24485390
2024-03-27,151.1800,151.6350,148.9000,150.8700,22879178
2024-03-26,150.2200,152.2560,149.9800,150.6700,22149137
2024-03-25,149.9400,150.3750,147.8200,150.0700,19229285
2024-03-22,149.1200,151.5800,148.9800,150.7700,29211769
2024-03-21,149.4700,150.3700,146.9001,147.6000,24755597
2024-03-20,148.0000,148.8600,146.7350,148.7400,21311501
2024-03-19,148.1600,148.7913,146.0800,147.0300,24070435
2024-03-18,148.6100,152.1500,147.1700,147.6800,69273699
2024-03-15,142.5000,143.1800,140.0300,141.1800,49475417
2024-03-14,141.1900,143.5850,140.4550,143.1000,42570686
2024-03-13,139.0000,141.0900,138.9900,139.7900,23164162
2024-03-12,137.0300,139.3750,137.0300,138.5000,27353587
2024-03-11,136.1300,139.1000,136.1300,137.6700,31677211
2024-03-08,134.2100,138.0850,134.0000,135.4100,39370392
2024-03-07,132.7950,134.9400,131.6100,134.3800,37738209
2024-03-06,133.1200,133.5800,130.8500,131.4000,35318610
2024-03-05,131.8800,133.2400,130.6650,132.6700,40194757
2024-03-04,135.6600,135.6600,131.9100,133.3500,55999415
2024-03-01,138.4300,138.8700,136.9200,137.1400,31151116
2024-02-29,137.2800,138.8600,136.4000,138.4600,42132953
2024-02-28,137.9000,138.0100,135.4100,136.3800,37328558
2024-02-27,138.0200,139.2500,137.0900,138.8800,33099190
2024-02-26,142.1400,142.4400,137.3900,137.5700,53641795
2024-02-23,143.6700,144.6800,143.4300,143.9600,19493752
2024-02-22,144.9300,145.0000,142.8000,144.0900,27191892
2024-02-21,141.4500,142.6900,140.6750,142.5500,23315687
2024-02-20,139.6550,142.0800,139.4900,141.1200,24935710
2024-02-16,142.9900,143.1900,140.1400,140.5200,31468926
2024-02-15,143.1400,143.5200,140.4600,142.7700,37590695
2024-02-14,146.0800,146.5200,144.0940,145.9400,22704166
2024-02-13,144.9200,146.6700,143.6900,145.1400,27837730
2024-02-12,148.4200,149.3350,147.3700,147.5300,21564085
2024-02-09,146.6800,149.4400,146.1800,149.0000,26829504
2024-02-08,145.8300,146.3300,145.1050,145.9100,22563764
2024-02-07,144.7600,145.6150,143.9250,145.5400,25208862
2024-02-06,144.6500,145.3600,143.1900,144.1000,29128201
