,Open,High,Low,Close,Volume
2024-06-28,30.7500,31.3100,30.7200,30.9700,41467675
2024-06-27,30.4200,30.6582,30.2850,30.5900,30184278
2024-06-26,30.6400,30.6800,30.2731,30.5400,30742984
2024-06-25,30.7000,30.8300,30.2901,30.7400,29498583
2024-06-24,31.1400,31.4200,30.5300,30.5700,40611793
2024-06-21,30.8500,31.3600,30.6701,31.0900,92549024
2024-06-20,30.5550,31.1100,30.4500,30.6200,43826322
2024-06-18,30.9900,31.4700,30.5000,30.6300,33294749
2024-06-17,30.3400,31.0000,30.1800,30.9800,36235315
2024-06-14,30.2850,30.5600,30.2100,30.4500,28125886
2024-06-13,30.3800,30.5800,30.1400,30.4600,33787162
2024-06-12,31.4550,31.4800,30.3899,30.7600,51323936
2024-06-11,30.7700,31.0300,30.5300,30.9200,25326850
2024-06-10,30.5500,30.9500,30.2850,30.9100,37445807
2024-06-07,30.2500,30.7800,30.2050,30.7400,34085530
2024-06-06,30.5520,30.5900,30.1600,30.4200,34248118
2024-06-05,30.2690,30.8350,30.0100,30.7800,44161657
2024-06-04,30.7500,30.7500,29.9400,30.0300,51027179
2024-06-03,31.0300,31.0650,30.0500,30.2900,35544896
2024-05-31,30.2200,30.9600,29.9400,30.8500,95797529
2024-05-30,30.2100,30.5000,30.0600,30.1900,33382756
2024-05-29,30.4650,30.6700,30.1050,30.1300,35848611
2024-05-28,30.9400,31.3695,30.6550,31.0600,36799147
2024-05-24,30.2900,31.0200,30.1301,30.7200,42434488
2024-05-23,31.4450,31.5700,29.8700,30.0800,62014547
2024-05-22,31.9100,32.0660,31.0950,31.4200,36706435
2024-05-21,31.9800,32.2400,31.6200,31.7400,42975363
2024-05-20,31.8500,32.4200,31.7600,32.1000,31989000
2024-05-17,32.0600,32.1100,31.5900,31.8300,41449777
2024-05-16,31.6300,32.2600,31.5200,32.0300,47752828
2024-05-15,31.3800,31.4000,30.8100,31.2700,36992927
2024-05-14,30.6200,31.1100,30.6100,31.0500,47759855
2024-05-13,30.0300,31.1300,30.0000,30.5100,51459143
2024-05-10,30.3300,30.4550,29.8400,29.8500,42931290
2024-05-09,29.9300,30.3850,29.8050,30.0900,45003402
2024-05-08,30.0000,30.1500,29.7300,30.0000,63734597
2024-05-07,31.0900,31.4500,30.6100,30.6800,44683401
2024-05-06,31.1150,31.2000,30.7300,30.9700,36185572
2024-05-03,30.9800,31.0550,30.7000,30.9000,36794828
2024-05-02,30.5900,30.6700,30.1900,30.5100,50899442
2024-05-01,30.1700,31.0350,30.0200,30.3700,60654760
2024-04-30,31.0400,31.1750,30.4200,30.4700,72346359
2024-04-29,31.8600,31.9100,31.0700,31.3600,58533264
2024-04-26,31.7800,32.2400,30.6400,31.8800,119742494
2024-04-25,34.5600,35.2950,34.5000,35.1100,66549403
2024-04-24,34.8600,35.1800,34.3400,34.5000,53261096
2024-04-23,34.3350,34.6000,34.1800,34.2800,46834042
2024-04-22,34.4150,34.5700,34.0750,34.4100,39909927
2024-04-19,35.1300,35.1300,34.1800,34.2000,59070310
2024-04-18,35.4200,35.6600,34.7700,35.0400,42334395
2024-04-17,36.1000,36.1297,35.3700,35.6800,41173345
2024-04-16,36.2700,36.5100,35.7640,36.2600,30607502
2024-04-15,36.0400,36.7000,35.8900,36.3100,50751563
2024-04-12,36.6900,36.7000,35.6050,35.6900,80254789
2024-04-11,37.4300,37.6700,37.0800,37.6300,41909086
2024-04-10,38.0200,38.2211,37.0200,37.2000,51108380
2024-04-09,38.0500,38.5800,37.3250,38.3300,77865990
2024-04-08,38.6400,38.8600,37.9100,37.9800,56319206
2024-04-05,39.3500,39.4600,38.5100,38.7100,66224416
2024-04-04,40.5900,40.7798,39.7000,39.7300,56408228
2024-04-03,41.4000,41.6500,40.2200,40.3300,83084591
2024-04-02,43.9250,44.0800,43.5000,43.9400,30957431
2024-04-01,44.2900,45.4100,44.1800,44.5200,31146811
2024-03-28,43.7600,44.6000,43.7100,44.1700,54204194
2024-03-27,42.5400,43.8300,42.5000,43.7700,51017828
2024-03-26,41.9500,42.2650,41.6550,41.9900,39109651
2024-03-25,40.8900,42.2150,40.5700,41.8300,47276531
2024-03-22,42.2500,42.8000,42.0900,42.5700,28503057
2024-03-21,42.9900,43.6000,42.3200,42.4200,50807592
2024-03-20,42.9900,43.0100,41.4100,42.2000,74864992
