,Open,High,Low,Close,Volume
2024-06-28,5.9500,6.1000,5.8610,6.0900,9971092
2024-06-27,5.7500,5.9400,5.6700,5.9000,5031353
2024-06-26,5.6000,5.8000,5.5500,5.7400,7532180
2024-06-25,5.8400,5.9000,5.6600,5.6800,8223671
2024-06-24,5.7300,5.9600,5.7300,5.9000,8387684
2024-06-21,5.6600,5.8200,5.5900,5.7400,10987246
2024-06-20,5.6600,5.8300,5.6300,5.6800,13958244
2024-06-18,5.5500,5.6900,5.5400,5.6600,6253145
2024-06-17,5.4600,5.5800,5.3950,5.5600,6893427
2024-06-14,5.4500,5.5150,5.3800,5.4500,8292823
2024-06-13,5.7300,5.7300,5.4000,5.5200,12536678
2024-06-12,5.5300,5.7750,5.5250,5.7300,10059752
2024-06-11,5.5300,5.5800,5.4500,5.4700,6158187
2024-06-10,5.4800,5.6250,5.4300,5.5900,7938594
2024-06-07,5.4000,5.8000,5.3700,5.5600,13575724
2024-06-06,5.4900,5.5200,5.3750,5.4900,12378356
2024-06-05,5.4700,5.5700,5.3700,5.5000,9798800
2024-06-04,5.6100,5.6950,5.4200,5.4600,14019590
2024-06-03,5.7700,6.0600,5.5800,5.6300,18633850
2024-05-31,5.3700,5.6200,5.3200,5.5900,14774284
2024-05-30,5.2200,5.3700,5.1800,5.3200,9502602
2024-05-29,5.1500,5.1900,4.9300,5.1800,15815641
2024-05-28,5.4600,5.5050,5.3300,5.3700,11038502
2024-05-24,5.6200,5.6400,5.3500,5.4500,13496438
2024-05-23,5.7600,5.7600,5.5500,5.6000,8788996
2024-05-22,5.6400,5.8100,5.6100,5.7600,6706461
2024-05-21,5.8200,5.8300,5.6500,5.6700,6846394
2024-05-20,6.0500,6.0900,5.8100,5.8400,9424430
2024-05-17,6.1400,6.1900,6.0300,6.0400,12916781
2024-05-16,6.0900,6.1700,6.0100,6.1100,6260636
2024-05-15,6.3800,6.4500,6.0600,6.0900,10879900
2024-05-14,6.1400,6.6000,6.1200,6.3600,14864402
2024-05-13,5.7600,6.1900,5.7600,6.0300,15306077
2024-05-10,5.7900,5.8100,5.6500,5.7700,9523510
2024-05-09,5.6500,5.7600,5.5800,5.7500,9378872
2024-05-08,5.6000,5.7400,5.5800,5.6900,8662631
2024-05-07,5.9000,5.9000,5.6550,5.6600,10116350
2024-05-06,5.8000,5.9300,5.7400,5.9300,12296678
2024-05-03,5.8600,5.9300,5.7550,5.8000,8553414
2024-05-02,5.6900,5.8700,5.5900,5.7700,12546748
2024-05-01,5.6300,5.7800,5.5200,5.5850,12710313
2024-04-30,5.8300,5.9199,5.6700,5.6800,9661500
2024-04-29,5.7700,5.9100,5.7300,5.9000,10772234
2024-04-26,5.6700,5.7950,5.6400,5.7800,13399479
2024-04-25,5.7500,5.8100,5.5650,5.7200,19679101
2024-04-24,6.1450,6.1500,5.8400,5.9100,21515106
2024-04-23,6.1100,6.7400,6.0000,6.1000,37018575
2024-04-22,7.1750,7.5800,7.1100,7.5100,19168338
2024-04-19,6.9900,7.2450,6.9900,7.1100,8890104
2024-04-18,7.0300,7.3900,6.9600,7.1100,20565622
2024-04-17,6.6800,6.9801,6.5500,6.8300,17167836
2024-04-16,6.6800,6.7400,6.4600,6.5300,11407292
2024-04-15,6.7300,6.8400,6.5800,6.7900,14951085
2024-04-12,6.7300,6.7900,6.5150,6.7500,17464133
2024-04-11,6.8500,6.9102,6.7500,6.8700,8394855
2024-04-10,7.0300,7.2500,6.8000,6.8300,10092364
2024-04-09,7.1100,7.1800,6.9600,7.0900,9974037
2024-04-08,6.8400,7.0800,6.8300,7.0300,8085498
2024-04-05,6.7900,6.8900,6.6900,6.8000,8315109
2024-04-04,6.9300,7.2200,6.7050,6.7900,12946886
2024-04-03,6.8500,6.8800,6.6700,6.8500,9514860
2024-04-02,6.9500,6.9900,6.8400,6.8900,8628425
2024-04-01,7.4850,7.4900,7.0800,7.0900,9311938
2024-03-28,7.4100,7.5200,7.3400,7.4200,8143238
2024-03-27,7.4000,7.4450,7.2400,7.4100,8174872
2024-03-26,7.4300,7.5500,7.2850,7.3300,14188177
2024-03-25,7.0700,7.4600,7.0000,7.3900,11086166
2024-03-22,7.2500,7.2700,7.0100,7.0800,6182751
2024-03-21,7.2000,7.2900,7.1100,7.2800,7812353
2024-03-20,6.6000,7.1800,6.4800,7.1700,15026270
2024-03-19,6.8400,6.9700,6.6750,6.7100,10637365
2024-03-18,7.0400,7.0500,6.8500,6.9400,17108600
2024-03-15,7.1500,7.2600,7.0000,7.0400,10700008
2024-03-14,7.0000,7.2300,6.9140,7.1900,14357324
2024-03-13,6.8600,7.0800,6.8300,7.0000,10657792
2024-03-12,6.8250,7.0000,6.6000,6.9500,14176710
2024-03-11,7.1600,7.2300,7.0200,7.0400,7862495
2024-03-08,7.5000,7.5400,7.1500,7.1900,18219459
2024-03-07,7.2700,7.5500,7.1200,7.4200,15496724
2024-03-06,6.8500,7.2700,6.8200,7.2400,18503853
2024-03-05,6.6200,7.0300,6.5800,6.8200,15849983
2024-03-04,6.7600,6.8000,6.4500,6.7500,18887920
2024-03-01,6.4800,6.5100,6.2812,6.4700,7531625
2024-02-29,6.4500,6.5900,6.4250,6.4800,9379266
2024-02-28,6.4200,6.5800,6.3800,6.4200,7444937
2024-02-27,6.5000,6.6000,6.4150,6.5300,8614010
2024-02-26,6.4000,6.5700,6.3600,6.3900,9516138
2024-02-23,6.4800,6.5100,6.2900,6.4100,9184819
2024-02-22,6.7200,6.7800,6.5100,6.5400,11476317
2024-02-21,6.9200,6.9500,6.6850,6.7100,13094298
2024-02-20,7.2150,7.2500,6.9550,7.0100,14219864
2024-02-16,7.0900,7.1300,6.9500,6.9600,12691004
2024-02-15,7.4000,7.4692,7.1350,7.1600,15562655
2024-02-14,7.4500,7.5400,6.9900,7.2000,29159613
2024-02-13,6.8000,7.4000,6.6500,7.3800,63610046
2024-02-12,5.8500,6.1400,5.8250,6.0700,18688285
2024-02-09,5.8100,5.9600,5.7300,5.9400,14380974
2024-02-08,5.6700,5.8100,5.4700,5.8000,18157820
2024-02-07,6.0000,6.0200,5.6300,5.6700,16153935
2024-02-06,5.5200,6.0000,5.4600,5.9900,23123135
