,Open,High,Low,Close,Volume
2024-06-28,13.4700,14.2100,13.4100,14.1000,18124206
2024-06-27,13.3400,13.4900,13.2800,13.3900,7552860
2024-06-26,13.3600,13.6200,13.2900,13.3300,8370590
2024-06-25,13.5500,13.9000,13.2700,13.4700,12923844
2024-06-24,13.4200,13.7450,13.4200,13.5800,10369135
2024-06-21,13.7900,13.7900,13.1900,13.4500,17343648
2024-06-20,13.7700,13.9350,13.7000,13.7500,8830469
2024-06-18,14.0800,14.2100,13.7150,13.7800,9792512
2024-06-17,14.0700,14.2900,13.7900,14.0800,14618377
2024-06-14,14.3600,14.5100,14.0250,14.1700,16914195
2024-06-13,15.5900,15.6500,14.4600,14.4800,13430054
2024-06-12,15.0000,15.9600,14.9900,15.5400,20472433
2024-06-11,15.0400,15.0800,14.6000,14.6100,13986481
2024-06-10,15.4800,15.6300,14.3400,15.0800,23846560
2024-06-07,16.1480,16.8100,15.5600,15.6000,33498126
2024-06-06,16.8500,17.2900,15.6400,15.6900,40489685
2024-06-05,15.4100,15.5900,15.2700,15.5300,11451483
2024-06-04,15.7900,15.9400,15.0400,15.2700,11835694
2024-06-03,15.8200,15.9400,15.5400,15.8000,8784850
2024-05-31,15.9300,16.0900,15.3900,15.6100,8405481
2024-05-30,15.7600,16.0786,15.6500,15.7600,6546366
2024-05-29,15.4100,16.0550,15.2700,15.9200,9988580
2024-05-28,15.8100,15.8730,15.4850,15.6800,6993502
2024-05-24,15.6800,15.9400,15.5600,15.6400,5559985
2024-05-23,16.2000,16.2100,15.3200,15.4300,12570545
2024-05-22,16.2900,16.7950,15.9900,16.1100,13378328
2024-05-21,15.9900,16.1850,15.8000,16.0100,9006437
2024-05-20,16.6300,16.7305,15.6750,16.0700,17418130
2024-05-17,16.9000,17.1100,16.5350,16.6200,11939354
2024-05-16,17.0800,17.3200,16.8950,16.9500,7850868
2024-05-15,17.3700,17.6800,16.6500,17.0800,11143966
2024-05-14,17.2600,17.3500,16.7500,17.0400,8907968
2024-05-13,17.4000,17.4900,16.7500,17.0800,11195760
2024-05-10,17.3300,17.3700,16.9600,17.1800,10262260
2024-05-09,17.8000,17.8900,17.1100,17.2400,12963470
2024-05-08,17.4200,18.4000,17.1600,17.7800,38982100
2024-05-07,17.4300,17.4300,16.4500,16.6000,27084397
2024-05-06,17.5500,17.6500,17.1400,17.5200,13073294
2024-05-03,17.3400,17.7300,17.1200,17.2000,16009658
2024-05-02,16.2500,16.8750,16.0100,16.8400,13029054
2024-05-01,15.5900,16.4400,15.4800,15.8600,17958661
2024-04-30,16.1300,16.4000,15.6000,15.6400,8774426
2024-04-29,16.2200,16.4800,15.8600,16.3000,9286563
2024-04-26,16.0600,16.4500,15.9100,16.3700,8360518
2024-04-25,15.9300,16.2600,15.7400,16.0700,10612880
2024-04-24,16.5000,16.8299,15.7800,16.3400,17275450
2024-04-23,16.7700,17.2200,16.7200,16.9200,9587025
2024-04-22,16.3200,16.8750,16.1125,16.7300,13373764
2024-04-19,16.6000,16.8100,16.0550,16.1500,13290373
2024-04-18,17.4300,17.4501,16.6700,16.7100,12133800
2024-04-17,18.2500,18.7500,17.2200,17.3100,12941867
2024-04-16,17.8700,18.5850,17.6700,18.2700,8023920
2024-04-15,19.0900,19.3400,17.9400,17.9800,8789491
2024-04-12,19.3600,19.4650,18.6400,18.7600,7519680
2024-04-11,18.5800,19.5500,18.5800,19.5200,13939299
2024-04-10,18.0300,18.5900,17.9800,18.4000,10059853
2024-04-09,17.9400,18.7800,17.9020,18.5100,12119522
2024-04-08,18.0000,18.2500,17.6200,17.8300,9427626
2024-04-05,17.5300,18.2088,17.3950,17.8400,12629479
2024-04-04,18.5900,18.7400,17.2400,17.4200,12426692
2024-04-03,18.3100,18.5450,17.6700,18.2800,13421709
2024-04-02,18.7000,18.8200,18.2450,18.5800,14571019
2024-04-01,19.3700,19.6400,19.0800,19.2400,14790546
2024-03-28,19.5100,19.6900,19.0701,19.3500,8412216
2024-03-27,19.9300,19.9600,18.5600,19.4800,18155098
2024-03-26,19.8000,20.3700,19.5700,19.6300,9427394
2024-03-25,20.2400,20.4000,19.5000,19.5200,9684262
2024-03-22,20.2100,20.6700,19.8300,20.1600,14519019
2024-03-21,19.4200,20.8200,19.3900,20.2800,26211669
2024-03-20,18.1800,19.2900,18.0700,19.2000,16033793
2024-03-19,17.6700,18.1800,17.3100,18.1600,12300862
2024-03-18,17.4500,18.0400,17.2000,17.9500,14484146
2024-03-15,17.7000,17.8350,17.1800,17.2300,12432109
2024-03-14,18.6400,18.8900,17.5800,17.8100,11072984
2024-03-13,17.6900,18.4800,17.6000,18.2600,11510821
2024-03-12,17.8000,17.8600,17.3687,17.7000,13929651
2024-03-11,18.2600,18.2800,17.5500,17.8000,10992575
2024-03-08,18.3000,19.1200,17.9350,18.3100,16400069
2024-03-07,18.4400,18.5400,18.0000,18.0500,14185089
2024-03-06,17.2100,18.6200,17.1000,18.3000,27840402
2024-03-05,17.1500,17.2150,16.5000,16.8600,16948774
2024-03-04,17.3450,17.6284,16.9000,17.0800,20048777
2024-03-01,15.8900,16.5300,15.7113,16.3500,18032606
2024-02-29,15.8100,15.9700,15.3900,15.8800,14520734
2024-02-28,16.4200,16.4200,15.6500,15.6900,16450941
2024-02-27,15.9700,17.3700,15.9700,16.6600,22994016
2024-02-26,16.0000,16.3400,15.8050,15.9500,12611184
2024-02-23,15.9300,16.4300,15.5000,16.0100,28939760
2024-02-22,16.2650,16.9500,15.7800,15.9100,23063623
2024-02-21,16.4600,16.7000,15.9600,16.1300,21191761
2024-02-20,17.6600,17.9100,16.3100,16.7300,27404022
2024-02-16,18.8600,19.2900,17.7450,17.9100,37643952
2024-02-15,16.5900,19.4250,16.4300,19.0300,91229874
2024-02-14,14.9800,16.7700,14.9000,16.3900,109310555
2024-02-13,11.9700,12.2100,11.6900,12.1300,67047762
2024-02-12,13.0500,13.1600,12.3800,12.4000,18308545
2024-02-09,12.8200,13.3700,12.6840,13.0300,12785241
2024-02-08,12.4400,12.8297,12.2900,12.7800,9891803
2024-02-07,13.1700,13.2800,12.4000,12.4500,14073385
2024-02-06,12.6300,13.4600,12.5800,13.2200,16497275
