,Open,High,Low,Close,Volume
2024-06-28,517.1500,521.8800,503.8400,504.2200,15855137
2024-06-27,514.2500,522.8799,513.9000,519.5600,10121199
2024-06-26,506.6450,513.8100,504.6765,513.1200,8882337
2024-06-25,497.0500,510.7100,495.5000,510.6000,12109769
2024-06-24,499.2000,507.8000,494.2900,498.9100,13525278
2024-06-21,503.4500,503.4500,492.3900,494.7800,23130732
2024-06-20,502.0000,503.6700,496.7700,501.7000,11801182
2024-06-18,504.5600,506.0000,495.0200,499.4900,13060425
2024-06-17,501.6700,510.7500,496.0100,506.6300,11266601
2024-06-14,502.6500,507.1500,500.7500,504.1600,10243347
2024-06-13,505.7100,509.3600,501.3600,504.1000,9954621
2024-06-12,513.9900,514.0100,504.4700,508.8400,11983227
2024-06-11,500.1600,507.6000,498.2700,507.4700,9673715
2024-06-10,493.8600,502.6600,493.4100,502.6000,11236919
2024-06-07,495.9100,498.9100,490.1701,492.9600,9380745
2024-06-06,492.9800,502.8200,490.8900,493.7600,10667339
2024-06-05,484.4500,496.6500,483.9100,495.0600,15690484
2024-06-04,477.0000,478.8900,473.2322,476.9900,7088718
2024-06-03,470.8600,479.6000,468.2400,477.4900,11279390
2024-05-31,465.8000,469.1200,454.4601,466.8300,16919805
2024-05-30,471.6700,471.7300,464.7100,467.0500,10735226
2024-05-29,474.6600,479.8500,473.7000,474.3600,9226218
2024-05-28,476.5750,480.8600,474.8400,479.9200,10175770
2024-05-24,467.6200,479.8499,466.3000,478.2200,12024254
2024-05-23,472.8800,474.3581,461.5400,465.7800,11747913
2024-05-22,467.8700,473.7199,465.6500,467.7800,10078611
2024-05-21,467.1200,470.7000,462.2700,464.6300,11742189
2024-05-20,469.9500,473.2000,467.0400,468.8400,11745080
2024-05-17,470.8300,472.8000,468.4200,471.9100,10807289
2024-05-16,475.0000,477.6900,472.7500,473.2300,16608179
2024-05-15,474.9800,482.4999,471.2000,481.5400,13100470
2024-05-14,463.3700,472.5400,460.0800,471.8500,10478553
2024-05-13,472.7500,473.3500,462.8500,468.0100,14668798
2024-05-10,477.0900,477.5000,469.6000,476.2000,10749999
2024-05-09,470.0000,476.0800,467.6300,475.4200,9437651
2024-05-08,463.5000,475.5800,463.0020,472.6000,11683929
2024-05-07,466.2900,471.5300,461.3100,468.2400,13406816
2024-05-06,455.5800,466.1600,453.3400,465.6800,15094627
2024-05-03,445.9300,454.1700,443.8500,451.9600,16489057
2024-05-02,438.8400,443.9600,432.2800,441.6800,15221322
2024-05-01,428.6000,449.9600,427.1100,439.1900,20344947
2024-04-30,431.0500,439.6199,429.7200,430.1700,18429496
2024-04-29,439.5600,439.7600,428.5600,432.6200,21502646
2024-04-26,441.4600,446.4400,431.9600,443.2900,32691443
2024-04-25,421.4000,445.7700,414.5000,441.3800,82890741
2024-04-24,508.0600,510.0000,484.5800,493.5000,37772677
2024-04-23,491.2500,498.7600,488.9700,496.1000,15079196
2024-04-22,489.7150,492.0100,473.4000,481.7300,17271125
2024-04-19,502.8000,502.8000,475.7300,481.0700,25215364
2024-04-18,499.8200,512.2100,499.0400,501.8000,14808670
2024-04-17,503.1000,503.1600,487.1400,494.1700,12193743
2024-04-16,498.1100,504.7699,497.1100,499.7600,9847925
2024-04-15,516.7200,518.5300,497.2800,500.2300,13512893
2024-04-12,517.7500,520.1899,509.3300,511.9000,11984535
2024-04-11,521.1100,523.8600,517.2900,523.1600,10369469
2024-04-10,509.2900,522.5599,505.8000,519.8300,11418491
2024-04-09,522.2300,525.8700,506.7400,516.9000,10644177
2024-04-08,529.2800,531.4899,518.8900,519.2500,13126009
2024-04-05,516.8550,530.7000,514.4099,527.3400,19178665
2024-04-04,516.4200,530.0000,510.5800,510.9200,26207031
2024-04-03,498.9300,507.2400,498.7500,506.7400,12001199
2024-04-02,485.1000,497.5300,484.6500,497.3700,10989041
2024-04-01,487.2000,497.4300,481.7800,491.3500,9013459
2024-03-28,492.8400,492.8900,485.1500,485.5800,15212764
2024-03-27,499.3000,499.8900,488.0700,493.8600,9989676
2024-03-26,505.1300,510.0000,495.2137,495.8900,11205382
2024-03-25,505.7900,507.2200,500.2411,503.0200,8380617
2024-03-22,507.0000,509.9700,504.3400,509.5800,8120593
2024-03-21,514.7100,515.0400,506.0100,507.7600,9712549
2024-03-20,499.5000,508.1999,495.1700,505.5200,11711100
2024-03-19,488.1700,496.6296,481.2800,496.2400,10903092
2024-03-18,491.9100,497.4200,486.8100,496.9800,11755251
2024-03-15,489.0100,491.8300,481.3001,484.1000,29153576
2024-03-14,500.2550,501.3500,488.1600,491.8300,12571134
2024-03-13,495.3900,500.9800,491.0318,495.5700,11937907
2024-03-12,493.2600,502.3100,484.7300,499.7500,15362157
2024-03-11,497.0100,497.3200,476.0000,483.5900,19982445
2024-03-08,514.1900,523.5700,499.3500,505.9500,18597059
2024-03-07,503.2800,519.8500,501.3800,512.1900,18586437
2024-03-06,497.6300,502.9700,494.2920,496.0900,11757925
2024-03-05,495.0000,495.5800,487.8900,490.2200,15325299
2024-03-04,503.0000,504.4200,496.4200,498.1900,12324141
2024-03-01,492.1100,504.2500,491.8500,502.3000,15884882
2024-02-29,488.4400,491.7000,482.6100,490.1300,17732045
2024-02-28,485.0000,491.0500,482.7500,484.0200,12715486
2024-02-27,479.9750,487.2700,479.9200,487.0500,10809595
2024-02-26,483.4700,486.1400,480.6000,481.7400,12101415
2024-02-23,488.0500,494.3599,482.3482,484.0300,18374286
2024-02-22,480.2400,489.9900,476.0618,486.1300,21625805
2024-02-21,466.5000,469.0000,461.7900,468.0300,12977050
2024-02-20,469.7150,476.1800,466.5600,471.7500,18015523
2024-02-16,478.1100,478.9600,469.2100,473.3200,23324620
2024-02-15,475.2800,488.6200,472.2200,484.0300,24212326
2024-02-14,467.9300,474.1100,466.0901,473.2800,16858401
2024-02-13,456.8700,467.8900,455.0900,460.1200,20916602
2024-02-12,468.1900,479.1450,466.5800,468.9000,19381963
2024-02-09,472.9500,473.5900,467.4650,468.1100,18413137
2024-02-08,468.3200,470.5900,465.0300,470.0000,18815097
2024-02-07,458.0000,471.5200,456.1773,469.5900,23065994
2024-02-06,464.0000,467.1200,453.0000,454.7200,21655214
